年月日,時刻コード,システムプライス,売500MW,買500MW,売1000MW,買1000MW,売5000MW,買5000MW
2021/04/03,44,6.27,5.72,6.52,5.68,6.54,5.16,7.83
2021/04/03,45,5.63,5.57,5.68,5.50,5.69,5.05,7.43
2021/04/03,46,5.63,5.47,5.63,5.47,5.63,4.92,7.37
2021/04/03,47,5.45,5.43,5.58,5.35,5.60,4.84,7.07
2021/04/03,48,5.43,5.35,5.43,5.28,5.63,4.66,7.03
2021/04/04,1,5.42,5.33,5.43,5.24,5.60,4.35,6.54
2021/04/04,2,5.33,5.24,5.43,5.11,5.51,4.35,6.45
2021/04/04,3,5.20,5.11,5.30,5.06,5.33,4.23,5.63
2021/04/04,4,5.20,5.07,5.30,5.06,5.33,4.24,5.63
2021/04/04,5,5.29,5.15,5.41,5.11,5.41,4.40,6.57
2021/04/04,6,5.29,5.15,5.40,5.12,5.41,4.46,7.37
2021/04/04,7,5.38,5.38,5.44,5.26,5.47,4.45,7.57
2021/04/04,8,5.43,5.38,5.47,5.28,5.63,4.61,7.57
2021/04/04,9,5.63,5.46,5.68,5.42,6.95,4.62,8.14
2021/04/04,10,5.60,5.46,5.65,5.37,6.47,4.61,8.00
2021/04/04,11,5.41,5.28,5.58,5.20,5.60,4.61,7.39
2021/04/04,12,5.41,5.28,5.60,5.20,5.63,4.62,7.37
2021/04/04,13,5.28,5.11,5.30,5.07,5.41,4.41,5.80
2021/04/04,14,5.21,5.07,5.28,5.00,5.41,4.40,5.63
2021/04/04,15,5.05,4.97,5.11,4.92,5.20,3.83,5.63
2021/04/04,16,5.05,4.97,5.11,4.92,5.11,3.83,5.63
2021/04/04,17,5.03,4.90,5.11,4.84,5.11,3.89,5.59
2021/04/04,18,5.03,4.94,5.11,4.90,5.20,4.13,5.63
2021/04/04,19,5.11,4.99,5.18,4.96,5.24,4.15,5.63
2021/04/04,20,5.11,4.99,5.19,4.95,5.24,4.15,5.63
2021/04/04,21,5.26,5.11,5.30,5.09,5.34,4.61,5.63
2021/04/04,22,5.20,5.09,5.30,5.02,5.30,4.57,5.63
2021/04/04,23,5.33,5.29,5.63,5.24,5.63,4.66,5.71
2021/04/04,24,5.34,5.29,5.63,5.25,5.63,4.66,5.71
2021/04/04,25,5.63,5.63,5.63,5.39,5.63,4.80,7.19
2021/04/04,26,5.63,5.63,5.63,5.53,5.63,4.87,7.37
2021/04/04,27,5.63,5.63,5.63,5.63,5.63,4.94,7.37
2021/04/04,28,5.63,5.63,5.63,5.63,5.63,4.77,7.37
2021/04/04,29,5.63,5.63,5.63,5.63,5.63,5.08,7.42
2021/04/04,30,5.63,5.63,5.63,5.63,5.68,4.77,7.45
2021/04/04,31,5.63,5.63,6.36,5.63,6.73,4.84,7.45
2021/04/04,32,6.66,5.63,7.38,5.63,7.38,5.11,7.45
2021/04/04,33,7.37,6.71,7.41,5.63,7.41,5.21,7.85
2021/04/04,34,7.37,6.75,7.41,5.68,7.42,5.21,7.85
2021/04/04,35,7.40,7.37,7.43,6.66,7.45,5.29,8.07
2021/04/04,36,7.65,7.43,7.71,7.40,7.73,5.41,8.18
2021/04/04,37,7.43,7.39,7.43,7.37,7.43,5.41,8.18
2021/04/04,38,7.43,7.39,7.43,7.37,7.43,5.41,8.41
2021/04/04,39,7.43,7.39,7.43,7.37,7.43,5.41,8.30
2021/04/04,40,7.43,7.39,7.43,7.37,7.45,5.37,8.44
2021/04/04,41,7.07,6.53,7.37,6.33,7.37,5.28,8.40
2021/04/04,42,6.66,6.34,7.37,5.96,7.37,5.18,8.40
2021/04/04,43,6.50,5.74,6.56,5.63,6.81,5.11,8.40
2021/04/04,44,5.94,5.63,6.52,5.57,6.52,5.07,8.18
2021/04/04,45,5.56,5.48,5.63,5.43,5.63,4.86,7.85
2021/04/04,46,5.43,5.37,5.56,5.28,5.57,4.66,7.37
2021/04/04,47,5.42,5.31,5.43,5.17,5.53,4.34,7.37
2021/04/04,48,5.31,5.17,5.42,5.11,5.48,3.90,6.87
2021/04/05,1,5.26,5.10,5.35,4.98,5.37,4.24,5.82
2021/04/05,2,5.26,5.10,5.35,4.98,5.37,4.33,5.63
2021/04/05,3,5.11,5.10,5.28,4.98,5.35,4.29,5.63
2021/04/05,4,5.11,5.00,5.27,4.92,5.28,4.25,5.63
2021/04/05,5,5.22,5.10,5.31,4.98,5.42,4.33,5.63
2021/04/05,6,5.31,5.22,5.41,5.10,5.42,4.33,6.19
2021/04/05,7,5.40,5.29,5.48,5.16,5.60,4.61,7.38
2021/04/05,8,5.40,5.31,5.48,5.29,5.55,4.62,7.36
2021/04/05,9,5.46,5.38,5.57,5.29,5.68,4.62,6.94
2021/04/05,10,5.46,5.38,5.52,5.29,5.63,4.62,7.37
2021/04/05,11,5.48,5.42,5.56,5.32,5.68,4.77,7.37
2021/04/05,12,5.48,5.42,5.63,5.32,5.69,4.81,7.37
2021/04/05,13,5.57,5.46,5.68,5.41,5.93,4.92,7.40
2021/04/05,14,5.57,5.47,5.63,5.46,5.67,4.92,7.40
2021/04/05,15,5.63,5.63,5.66,5.63,5.77,4.98,7.42
2021/04/05,16,5.63,5.63,5.63,5.63,5.68,5.05,7.38
2021/04/05,17,5.63,5.63,5.63,5.63,5.63,4.96,7.57
2021/04/05,18,5.63,5.63,5.63,5.44,5.63,4.92,7.57
2021/04/05,19,5.43,5.43,5.63,5.39,5.63,4.77,5.89
2021/04/05,20,5.29,5.10,5.31,5.01,5.38,4.24,5.63
2021/04/05,21,4.93,4.90,4.98,4.77,5.10,2.00,5.63
2021/04/05,22,4.92,4.66,4.96,4.62,5.01,0.01,5.41
2021/04/05,23,4.90,4.66,4.92,4.62,4.98,0.01,5.34
2021/04/05,24,4.66,4.61,4.77,4.57,4.93,0.01,5.30
2021/04/05,25,4.11,3.79,4.13,3.00,4.24,0.01,4.98
2021/04/05,26,3.90,3.57,4.12,2.00,4.23,0.01,4.95
2021/04/05,27,4.57,4.36,4.65,4.24,4.77,0.01,5.27
2021/04/05,28,4.62,4.59,4.76,4.24,4.89,0.01,5.34
2021/04/05,29,4.92,4.77,5.10,4.66,5.15,0.01,5.41
2021/04/05,30,4.90,4.87,4.92,4.76,5.10,1.00,5.59
2021/04/05,31,4.99,4.92,5.10,4.77,5.24,1.00,5.63
2021/04/05,32,5.33,5.30,5.34,5.26,5.41,4.62,5.63
2021/04/05,33,5.63,5.63,5.63,5.56,5.63,5.10,7.78
2021/04/05,34,5.63,5.63,6.28,5.63,6.34,5.20,8.58
2021/04/05,35,7.37,7.37,7.50,7.07,7.89,5.43,9.12
2021/04/05,36,7.98,7.89,8.01,7.89,8.29,6.07,11.19
2021/04/05,37,8.01,8.01,8.30,7.97,8.52,7.29,15.02
2021/04/05,38,8.01,8.01,8.29,7.92,8.52,7.29,15.00
2021/04/05,39,7.89,7.78,8.01,7.78,8.28,6.91,12.18
2021/04/05,40,7.78,7.45,7.87,7.45,7.87,6.36,10.38
2021/04/05,41,7.45,7.38,7.50,7.38,8.29,5.73,10.38
2021/04/05,42,7.38,7.36,7.45,7.36,7.50,5.63,9.42
2021/04/05,43,7.04,6.91,7.30,6.91,7.37,5.51,9.34
2021/04/05,44,6.91,6.45,7.04,6.36,7.30,5.35,8.44
2021/04/05,45,7.17,6.81,7.19,6.52,7.38,5.28,8.70
2021/04/05,46,6.75,6.52,7.06,6.36,7.19,5.27,8.44
2021/04/05,47,6.55,6.52,7.36,6.36,7.39,5.19,8.44
2021/04/05,48,6.36,6.34,6.73,5.73,7.03,5.17,8.44
2021/04/06,1,6.34,5.68,6.52,5.55,6.74,5.07,7.41
2021/04/06,2,5.63,5.63,5.68,5.51,5.89,5.07,6.93
2021/04/06,3,5.51,5.49,5.54,5.43,5.54,5.07,6.56
2021/04/06,4,5.54,5.54,5.54,5.44,5.54,5.07,7.00
2021/04/06,5,5.68,5.68,5.82,5.50,5.82,5.13,7.36
2021/04/06,6,6.34,5.82,6.47,5.68,6.91,5.24,7.39
2021/04/06,7,7.36,7.36,7.36,7.11,7.38,5.46,7.73
2021/04/06,8,7.08,6.96,7.20,6.52,7.36,5.49,7.42
2021/04/06,9,7.40,7.40,7.40,7.37,7.40,5.56,8.14
2021/04/06,10,7.40,7.40,7.65,7.37,7.65,5.79,8.14
2021/04/06,11,7.74,7.72,8.05,7.42,8.05,6.34,9.42
2021/04/06,12,7.57,7.45,7.87,7.42,7.83,6.34,12.06
2021/04/06,13,6.93,6.92,7.11,6.52,7.11,5.36,9.42
2021/04/06,14,5.92,5.69,6.52,5.68,6.52,5.17,7.41
2021/04/06,15,5.49,5.49,5.63,5.45,5.63,5.02,7.14
2021/04/06,16,5.49,5.49,5.55,5.39,5.58,4.95,6.77
2021/04/06,17,5.56,5.55,5.62,5.43,5.62,4.77,6.52
2021/04/06,18,5.44,5.43,5.55,5.24,5.62,4.62,5.63
2021/04/06,19,5.18,5.12,5.29,5.11,5.42,4.43,5.63
2021/04/06,20,5.01,5.01,5.11,4.91,5.12,3.00,5.63
2021/04/06,21,4.66,4.65,4.77,4.58,4.85,0.01,5.26
2021/04/06,22,4.58,4.58,4.63,4.58,4.63,0.01,5.08
2021/04/06,23,4.29,4.29,4.30,3.91,4.33,0.01,4.92
2021/04/06,24,4.27,4.29,4.29,4.24,4.29,0.01,4.63
2021/04/06,25,1.00,1.00,2.00,0.01,3.00,0.01,4.25
2021/04/06,26,0.01,0.01,1.00,0.01,2.00,0.01,4.24
2021/04/06,27,4.24,4.20,4.33,3.91,4.61,0.01,4.72
2021/04/06,28,4.66,4.57,4.72,4.20,4.93,0.01,5.12
2021/04/06,29,4.96,4.85,4.97,4.77,5.05,0.01,5.53
2021/04/06,30,4.85,4.85,4.97,4.66,5.00,0.01,5.55
2021/04/06,31,5.05,5.01,5.12,4.77,5.15,0.01,5.63
2021/04/06,32,5.29,5.23,5.34,5.12,5.51,4.57,5.63
2021/04/06,33,5.63,5.63,5.63,5.55,5.63,4.93,7.14
2021/04/06,34,5.63,5.63,5.82,5.63,6.34,5.20,8.32
2021/04/06,35,7.14,6.34,7.39,5.94,7.39,5.49,8.28
2021/04/06,36,8.11,7.98,8.28,7.98,8.30,5.91,9.79
2021/04/06,37,8.70,8.28,9.42,8.14,9.49,7.39,15.00
2021/04/06,38,8.94,8.57,9.34,8.28,9.49,7.39,12.18
2021/04/06,39,8.28,8.14,8.57,8.09,9.34,6.91,10.00
2021/04/06,40,8.14,7.97,8.28,7.65,8.44,6.50,9.79
2021/04/06,41,8.44,7.78,8.44,7.45,8.92,6.34,9.79
2021/04/06,42,7.97,7.78,8.44,7.40,8.44,5.73,9.49
2021/04/06,43,7.78,7.41,7.97,7.37,8.44,6.34,9.79
2021/04/06,44,7.41,7.37,7.76,7.29,7.78,5.60,8.44
2021/04/06,45,7.57,7.40,8.00,7.37,8.14,6.34,8.44
2021/04/06,46,7.40,7.37,7.57,7.06,7.57,5.45,8.44
2021/04/06,47,7.41,7.37,7.45,7.29,7.78,5.41,8.44
2021/04/06,48,7.29,6.77,7.29,6.52,7.37,5.29,8.44
2021/04/07,1,6.99,6.82,7.38,6.74,7.98,5.32,8.94
2021/04/07,2,6.52,6.44,6.73,6.34,6.93,5.34,8.20
2021/04/07,3,6.30,5.88,6.74,5.88,6.77,5.30,8.44
2021/04/07,4,6.36,6.34,6.93,5.88,7.03,5.30,8.44
2021/04/07,5,6.91,6.52,7.37,6.47,7.37,5.37,8.44
2021/04/07,6,7.37,6.91,7.42,6.46,7.42,5.37,10.02
